4.6,3.4,1.4,0.3,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa
4.8,3.0,1.4,0.3,Iris-setosa
5.0,3.3,1.4,0.2,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
